title,price,category,url
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Sugar Free, Rainbow Sherbet",24.99,hydration,https://www.costco.com/productid.1947971.html
"Sweet Penny Toffee and Cookies N' Creme Pretzel Assortment, 64 oz, 60-count",89.99,fuel,https://www.costco.com/productid.1950013.html
"Mr. Hyde Signature Pre-Workout Multi-flavor with Creatine, 72 Servings",31.99,recovery,https://www.costco.com/productid.1959671.html
"Bosch 800 Series Top Control Dishwasher with CrystalDry and TimeLight, 42dBA",1399.99,fuel,https://www.costco.com/productid.1960747.html
"Zena Creatine Monohydrate + D3/K2 Gummies, 225-count",32.99,recovery,https://www.costco.com/productid.1962263.html
"Ka'Chava All-In-One Nutrition Plant Based Shake, Chocolate, 30 Servings, 4.16 lbs",69.99,recovery,https://www.costco.com/productid.1964596.html
"Liquid I.V. Energy Multiplier, 26 Individual Serving Stick Packs in Resealable Pouch, Sugar Free, Variety Pack",24.99,hydration,https://www.costco.com/productid.1967470.html
"Koa Mana Fuel For Warriors Hydration Drink Mix Variety, 5.9 oz, 2-pack",54.99,hydration,https://www.costco.com/productid.1971080.html
"Arroyo Baking Co. Fig Bars, Variety Pack, 2 oz, 40-count",17.49,fuel,https://www.costco.com/productid.1979502.html
"EcoDrink Complete Multivitamin Drink Mix, 30 Packets",24.99,hydration,https://www.costco.com/productid.1981417.html
"Hawaiian Tropic Sheer Touch Lotion Sunscreen SPF 30, 10.8 fl oz, 2-pack",14.99,body,https://www.costco.com/productid.1982330.html
"RXBAR Protein Strawberry Peanut Butter Energy Bites, 28-count",23.99,fuel,https://www.costco.com/productid.1984559.html
"Libanais Assorted Maamoul and Ghraybeh Cookies, 2 Pack, 4 lbs Total",59.99,fuel,https://www.costco.com/productid.1985182.html
"Circ Energy Bites, Peanut Chocolate Chip, 1.76 oz, 14-count",20.99,fuel,https://www.costco.com/productid.1988098.html
"Thank You Farmer Rice Tinted Mineral Sunscreen SPF 40, 1.69 fl oz, 2-pack",29.99,body,https://www.costco.com/productid.1991789.html
"Orgain and Justin's Nut Butter Protein Powder, Dark Chocolate Peanut Butter, 2.01lbs",27.99,recovery,https://www.costco.com/productid.1992658.html
"Optimum Nutrition Essential Amino Energy + Electrolytes, Grape, 1.42 lbs",37.99,hydration,https://www.costco.com/productid.1998493.html
"Neogen-Dermology Day-Light Protection Airy Sunscreen SPF 50, 1.69 fl oz, 2-pack",31.99,body,https://www.costco.com/productid.2005196.html
"Ascent 100% Whey, Native Whey Protein Blend, Unflavored, 4.25 lbs",55.99,recovery,https://www.costco.com/productid.2010884.html
"Bering Classic Stainless Steel Green Dial Men's Quartz Watch, 40mm",99.99,fuel,https://www.costco.com/productid.2021508.html
"Vacation Classic Spray SPF 50, 6 oz, 2-pack and Air Freshener Bundle",29.99,hydration,https://www.costco.com/productid.2028715.html
"LG FlushFit Top Control Dishwasher Third Rack and 1-Hour Wash and Dry, 42 dBA",1099.99,fuel,https://www.costco.com/productid.2030871.html
"LG FlushFit Top Control Dishwasher 1-Hour Wash and Dry Cycle and BlastZone, 39 dBA",1199.99,fuel,https://www.costco.com/productid.2030883.html
LG FlushFit Top Control Dishwasher 1-Hour Wash and Dry Cycle with Bar Handle,949.99,fuel,https://www.costco.com/productid.2030886.html
"Taste Salud Hydration + Immunity, 30 Individual Stick Packs, Variety Pack",34.99,hydration,https://www.costco.com/productid.2031720.html
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Sugar Free, Mango Pineapple",24.99,hydration,https://www.costco.com/productid.2032174.html
"Vacation Classic Whip Sunscreen Mousse, SPF 30, 4 oz, 2-pack and Air Freshener Bundle",27.99,body,https://www.costco.com/productid.2035537.html
"Thinksport All Sheer Mineral Sunscreen Spray SPF 50+, 6 oz, 2-pack",25.99,body,https://www.costco.com/productid.2037044.html
"Thinksport Clear Zinc Mineral Sunscreen Lotion SPF 50, 3 fl oz, 2-pack",16.99,body,https://www.costco.com/productid.2037045.html
"OvaEasy Egg White Protein Powder, Unflavored, 2 Count, 1.32 lb Bags",89.99,recovery,https://www.costco.com/productid.2039476.html
"Maison Perrier French Kiss Sparkling Juice Beverage, Variety Pack, 11.15 fl oz, 20-count",24.99,hydration,https://www.costco.com/productid.2040251.html
"Vital Proteins Collagen Peptides, Strawberry Lemonade, 1.7 lbs",28.99,recovery,https://www.costco.com/productid.2042597.html
"ProSupps Ghirardelli 24g Whey Protein Powder, Rich Chocolate, 5.16 lbs",63.99,recovery,https://www.costco.com/productid.2047027.html
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Sugar Free, Variety Pack",24.99,hydration,https://www.costco.com/productid.2049358.html
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Sugar Free, Ring Pop Cherry",24.99,hydration,https://www.costco.com/productid.2049359.html
"FEELGOOD Creatine+, 120 Vegan Capsules",35.99,recovery,https://www.costco.com/productid.2052093.html
"Zena Creatine Gummies + D3/K2, Variety Pack",32.99,recovery,https://www.costco.com/productid.2052615.html
"DripDrop Hydration Zero Sugar Plus, 33 Stick Packs in Resealable Pouch, Variety Pack",24.99,hydration,https://www.costco.com/productid.2053284.html
"Plant-Based Snack Box, 42 Piece",49.99,fuel,https://www.costco.com/productid.2053839.html
"ThermoFlask 24 oz. Protein Powder Shaker Bottle 2-pack, Pitch Black / Optic White",32.99,recovery,https://www.costco.com/productid.2054545.html
"Alpina Startimer Pilot Big Date Stainless Steel Green Dial Men's Quartz Watch, 41mm",899.99,fuel,https://www.costco.com/productid.2056469.html
"Colorescience Sunforgettable Total Protection Face Shield Flex SPF 50, 1.8 fl oz",42.99,body,https://www.costco.com/productid.2059055.html
"Seaweed Bath Co. Sheer &amp; Sensitive Mineral Sunscreen Spray SPF 50, 6 oz, 3-pack",49.99,body,https://www.costco.com/productid.2064141.html
"Seaweed Bath Co. Tropical Quick-Dry Sunscreen Spray SPF 50, 5 oz, 6-pack",59.99,body,https://www.costco.com/productid.2064142.html
"Seaweed Bath Co. Active Sport Defense Sunscreen Lotion SPF 50, 3.4 oz, 3-pack",34.99,body,https://www.costco.com/productid.2064143.html
"Seaweed Bath Co. Invisible Mineral Sunscreen, SPF 50, 1.7 fl oz, 3-pack",49.99,body,https://www.costco.com/productid.2064144.html
"ZICO Coconut Water, Original, 33.8 fl oz, 6-count",23.99,hydration,https://www.costco.com/productid.564143.html
"Zico Beverages 100% Coconut Water, 11 fl oz, 12-count",25.99,hydration,https://www.costco.com/productid.584443.html
"Vacaville Dried Mixed Fruit, 34 oz",39.99,fuel,https://www.costco.com/productid.882222.html
"Clif Builder's Protein Bar, Variety Pack, 2.40 oz, 18-count",20.99,fuel,https://www.costco.com/productid.965181.html
"David’s Cookies Variety Cheesecakes, 2-pack (28 Slices Total)",69.99,fuel,https://www.costco.com/productid.983394.html
"Clif Kid ZBar Organic Granola Bar, Variety Pack, 1.27 oz, 36-count",18.29,fuel,https://www.costco.com/productid.986292.html
